depth,cali,gr,density,nphi,res,sonic
5576.5,9.4366,102.6643,2.3137,0.4511,-999.25,107.1209
5577,9.4366,100.7729,2.3287,0.45,-999.25,107.0212
5577.5,9.4366,101.5717,2.3287,0.445,-999.25,106.5902
5578,9.4366,103.9472,2.3233,0.4527,-999.25,107.2571
5578.5,9.4368,103.5612,2.3313,0.4517,-999.25,107.1696
5579,9.4563,104.9543,2.3419,0.4518,-999.25,107.1823
5579.5,9.5359,103.9863,2.3499,0.4691,-999.25,108.6805
5580,9.5342,104.0845,2.3508,0.497,-999.25,111.0944
5580.5,9.5335,104.691,2.3572,0.4947,-999.25,110.8937
5581,9.59,104.2988,2.3566,0.4982,-999.25,111.1978
5581.5,9.6319,105.6744,2.3417,0.5058,-999.25,111.856
5582,9.6376,103.5415,2.3169,0.4938,-999.25,110.8188
5582.5,9.7074,99.5297,2.3184,0.487,-999.25,110.2282
5583,9.7291,98.8971,2.3428,0.4893,-999.25,110.4244
5583.5,9.7295,97.4119,2.3675,0.5136,-999.25,112.5305
5584,9.7295,94.9742,2.3537,0.5241,-999.25,113.44
5584.5,9.7242,91.3733,2.3407,0.5262,-999.25,113.6262
5585,10.3205,93.0118,2.351,0.5203,-999.25,113.1164
5585.5,9.7635,97.5616,2.3653,0.4976,-999.25,111.1429
5586,9.829,103.7509,2.3774,0.4687,-999.25,108.6449
5586.5,9.8267,103.6674,2.3695,0.4444,-999.25,106.5413
5587,9.8271,103.3811,2.3702,0.4363,-999.25,105.8399
5587.5,9.8379,99.687,2.3799,0.438,-999.25,105.9891
5588,9.9374,99.9984,2.3773,0.4581,-999.25,107.7269
5588.5,10.0242,106.6157,2.373,0.4571,-999.25,107.6407
5589,10.0206,105.5508,2.3763,0.4484,-999.25,106.8891
5589.5,10.2031,98.7351,2.3692,0.4404,-999.25,106.1966
5590,10.3175,102.0381,2.372,0.4541,-999.25,107.379
5590.5,10.52,104.2625,2.3815,0.4422,-999.25,106.3479
5591,10.5156,99.4969,2.3794,0.4432,-999.25,106.4342
5591.5,10.6213,96.5018,2.3737,0.4616,-999.25,108.0261
5592,10.8154,94.5238,2.3673,0.471,-999.25,108.8455
5592.5,10.9363,91.45,2.3559,0.4954,-999.25,110.9556
5593,10.9996,88.4846,2.3265,0.4921,-999.25,110.6686
5593.5,10.9927,93.5999,2.3277,0.4637,-999.25,108.2128
5594,10.7967,93.5869,2.3427,0.4441,-999.25,106.5099
5594.5,10.5985,96.1408,2.3632,0.4461,-999.25,106.6856
5595,10.4776,102.18,2.3629,0.4616,-999.25,108.0277
5595.5,10.4008,106.817,2.3616,0.4678,-999.25,108.5641
5596,9.9554,104.9438,2.365,0.4626,-999.25,108.1126
