depth,cali,gr,density,nphi,res
5030.5,21.646,61.262,2.1,0.569,1.264
5031,22.747,58.721,2.09,0.562,1.28
5031.5,22.715,62.125,2.058,0.533,1.3
5032,22.64,64.233,2.033,0.492,1.3
5032.5,22.38,67.851,2.041,0.485,1.291
5033,21.651,66.238,2.061,0.494,1.296
5033.5,21.358,69.651,2.064,0.48,1.298
5034,20.534,71.983,2.044,0.501,1.298
5034.5,21.346,71.446,2.035,0.483,1.301
5035,20.821,70.192,2.042,0.477,1.307
5035.5,19.644,67.222,2.045,0.467,1.303
5036,20.174,67.311,2.075,0.498,1.33
5036.5,20.865,63.044,2.116,0.521,1.35
5037,21.178,61.587,2.167,0.507,1.316
5037.5,20.392,64.003,2.153,0.503,1.305
5038,18.686,62.715,2.11,0.55,1.324
5038.5,18.8,65.348,2.07,0.556,1.322
5039,19.253,64.725,2.072,0.545,1.32
5039.5,19.132,69.741,2.089,0.497,1.303
5040,18.835,71.535,2.106,0.492,1.266
5040.5,18.454,72.879,2.109,0.478,1.237
5041,18.358,68.97,2.096,0.457,1.224
5041.5,18.981,68.216,2.071,0.455,1.218
5042,19.823,66.101,2.04,0.462,1.216
5042.5,20.318,68.957,2.035,0.457,1.224
5043,20.569,66.18,2.034,0.487,1.25
5043.5,20.089,64.834,2.045,0.498,1.266
5044,21.145,60.005,2.052,0.519,1.275
5044.5,20.772,61.349,2.06,0.482,1.29
5045,20.924,61.529,2.071,0.457,1.328
5045.5,21.44,66.604,2.077,0.453,1.364
5046,21.458,67.356,2.077,0.475,1.393
5046.5,20.892,69.123,2.075,0.521,1.399
5047,20.915,67.008,2.071,0.525,1.386
5047.5,20.984,65.718,2.068,0.525,1.369
5048,20.103,65.471,2.081,0.49,1.352
5048.5,21.052,64.215,2.107,0.529,1.324
5049,21.567,64.394,2.108,0.525,1.307
5049.5,22.419,62.784,2.104,0.558,1.285
5050,22.565,61.797,2.101,0.534,1.269
5050.5,21.958,60.722,2.107,0.561,1.263
5051,20.328,57.977,2.107,0.514,1.273
5051.5,17.611,56.781,2.09,0.499,1.28
5052,17.048,55.408,2.054,0.49,1.256
5052.5,18.403,56.776,2.024,0.508,1.244
5053,18.464,56.688,2,0.516,1.252
5053.5,19.657,56.986,2.002,0.532,1.282
5054,21.167,59.888,2.027,0.528,1.301
5054.5,21.808,64.904,2.085,0.489,1.313
5055,18.116,67.327,2.167,0.43,1.322
5055.5,13.133,69.622,2.231,0.4,1.328
5056,13.141,70.018,2.26,0.445,1.333
5056.5,13.174,69.117,2.257,0.449,1.354
5057,13.208,66.303,2.27,0.458,1.369
5057.5,13.217,65.855,2.257,0.426,1.373
5058,13.395,68.363,2.262,0.422,1.379
5058.5,13.394,68.972,2.271,0.433,1.387
5059,13.433,67.853,2.269,0.433,1.391
5059.5,13.523,67.764,2.261,0.475,1.399
5060,13.462,67.225,2.24,0.461,1.41
5060.5,13.555,67.053,2.24,0.461,1.421
5061,13.682,67.359,2.231,0.407,1.427
5061.5,13.474,67.95,2.213,0.407,1.436
5062,13.158,71.574,2.207,0.406,1.443
5062.5,13.136,73.06,2.221,0.449,1.44
5063,12.933,76.505,2.256,0.484,1.428
5063.5,12.5,78.167,2.278,0.505,1.41
5064,12.356,78.794,2.272,0.481,1.391
5064.5,12.331,81.218,2.267,0.462,1.376
5065,12.308,79.337,2.26,0.449,1.37
5065.5,12.317,80.467,2.26,0.441,1.367
5066,12.315,77.018,2.251,0.416,1.369
5066.5,12.275,78.046,2.244,0.41,1.37
5067,12.278,74.454,2.255,0.412,1.378
5067.5,12.269,75.708,2.264,0.437,1.399
5068,12.27,76.383,2.271,0.453,1.4
5068.5,12.246,77.359,2.259,0.446,1.396
5069,12.219,75.606,2.255,0.451,1.388
5069.5,12.17,73.008,2.259,0.434,1.382
5070,12.167,75.005,2.253,0.444,1.386
5070.5,12.17,74.826,2.255,0.428,1.397
5071,12.161,74.736,2.257,0.438,1.404
5071.5,12.174,72.843,2.262,0.433,1.409
5072,12.164,75.672,2.26,0.428,1.428
5072.5,12.17,74.992,2.269,0.411,1.436
5073,12.171,75.925,2.265,0.418,1.443
5073.5,12.143,70.35,2.263,0.408,1.45
5074,12.136,68.556,2.251,0.409,1.425
5074.5,12.136,71.512,2.248,0.401,1.377
5075,12.128,75.963,2.256,0.419,1.355
5075.5,12.134,78.437,2.262,0.436,1.332
