depth,cali,gr,density,nphi,res
5794,12.274,77.554,2.253,0.471,1.122
5794.5,12.26,74.657,2.259,0.502,1.145
5795,12.184,73.85,2.267,0.496,1.191
5795.5,12.166,77.167,2.267,0.489,1.215
5796,12.169,78.255,2.258,0.469,1.226
5796.5,12.155,78.544,2.244,0.464,1.242
5797,12.175,72.985,2.237,0.471,1.275
5797.5,12.16,72.749,2.231,0.471,1.302
5798,12.17,72.8,2.234,0.466,1.312
5798.5,12.167,75.131,2.242,0.469,1.309
5799,12.157,75.216,2.256,0.487,1.301
5799.5,12.169,72.563,2.252,0.487,1.298
5800,12.17,75.768,2.248,0.487,1.291
5800.5,12.16,74.064,2.241,0.473,1.272
5801,12.172,77.274,2.251,0.454,1.262
5801.5,12.169,71.2,2.254,0.456,1.257
5802,12.198,72.27,2.257,0.452,1.251
5802.5,12.204,70.523,2.257,0.465,1.239
5803,12.192,74.468,2.263,0.488,1.218
5803.5,12.209,76.082,2.254,0.482,1.196
5804,12.198,78.467,2.257,0.471,1.187
5804.5,12.211,77.053,2.25,0.445,1.187
5805,12.197,76.784,2.254,0.472,1.181
5805.5,12.204,78.743,2.255,0.467,1.171
5806,12.205,80.944,2.26,0.464,1.174
5806.5,12.204,78.121,2.25,0.445,1.187
5807,12.207,78.548,2.244,0.475,1.197
5807.5,12.236,77.266,2.243,0.482,1.192
5808,12.239,78.933,2.247,0.472,1.192
5808.5,12.236,76.624,2.249,0.444,1.21
5809,12.248,77.267,2.245,0.431,1.224
5809.5,12.236,77.954,2.25,0.446,1.228
5810,12.235,79.658,2.243,0.446,1.227
5810.5,12.245,79.712,2.24,0.459,1.228
5811,12.235,80.283,2.229,0.448,1.218
5811.5,12.239,79.766,2.221,0.444,1.21
5812,12.236,81.784,2.223,0.439,1.205
5812.5,12.238,80.461,2.239,0.457,1.203
5813,12.237,80.06,2.248,0.51,1.204
5813.5,12.241,77.732,2.249,0.511,1.206
5814,12.241,77.858,2.238,0.511,1.208
5814.5,12.248,78.258,2.242,0.454,1.214
5815,12.262,77.387,2.245,0.472,1.221
5815.5,12.292,79.2,2.253,0.469,1.219
5816,12.262,78.262,2.247,0.459,1.217
5816.5,12.278,78.622,2.25,0.429,1.222
5817,12.278,75.555,2.245,0.423,1.224
5817.5,12.275,77.252,2.247,0.468,1.225
5818,12.274,78.073,2.248,0.474,1.223
5818.5,12.271,78.092,2.247,0.46,1.209
5819,12.273,74.961,2.234,0.454,1.192
5819.5,12.283,71.907,2.241,0.447,1.182
5820,12.266,73.81,2.246,0.437,1.174
5820.5,12.28,73.452,2.25,0.414,1.169
5821,12.275,76.773,2.252,0.445,1.162
5821.5,12.267,73.596,2.251,0.455,1.148
5822,12.29,75.368,2.242,0.481,1.134
5822.5,12.271,74.45,2.231,0.455,1.125
5823,12.268,74.827,2.23,0.485,1.119
5823.5,12.289,71.461,2.242,0.494,1.116
5824,12.292,73.676,2.253,0.507,1.112
5824.5,12.294,77.532,2.252,0.491,1.098
5825,12.285,80.506,2.256,0.478,1.079
5825.5,12.292,78.81,2.249,0.514,1.069
5826,12.294,75.87,2.238,0.526,1.064
5826.5,12.295,74.489,2.226,0.513,1.058
5827,12.281,72.018,2.219,0.475,1.052
5827.5,12.297,74.13,2.223,0.475,1.051
5828,12.274,75.189,2.223,0.501,1.046
5828.5,12.273,74.973,2.215,0.493,1.041
5829,12.276,74.476,2.211,0.486,1.041
5829.5,12.282,74.267,2.212,0.476,1.048
5830,12.306,78.163,2.197,0.503,1.049
5830.5,12.312,77.212,2.204,0.529,1.037
5831,12.271,82.544,2.235,0.536,1.029
5831.5,12.214,86.019,2.247,0.51,1.035
5832,12.2,87.553,2.243,0.48,1.034
5832.5,12.216,84.349,2.243,0.451,1.024
5833,12.207,83.632,2.253,0.477,1.006
5833.5,12.221,83.632,2.255,0.498,0.999
5834,12.237,84.529,2.251,0.511,0.997
5834.5,12.236,83.991,2.237,0.522,0.992
5835,12.248,86.44,2.234,0.499,0.988
5835.5,12.231,85.902,2.236,0.545,0.985
5836,12.237,85.193,2.239,0.526,0.986
5836.5,12.234,83.058,2.246,0.538,0.987
5837,12.241,84.044,2.249,0.51,0.989
5837.5,12.243,82.296,2.249,0.547,0.991
5838,12.237,84.225,2.24,0.534,0.994
5838.5,12.238,82.252,2.222,0.518,0.995
5839,12.248,84.328,2.221,0.491,0.996
5839.5,12.231,81.232,2.217,0.532,0.999
5840,12.235,82.219,2.225,0.543,1
5840.5,12.255,77.953,2.224,0.533,0.999
5841,12.273,79.794,2.221,0.498,1.005
5841.5,12.278,78.808,2.212,0.496,1.005
5842,12.274,77,2.211,0.514,0.999
5842.5,12.246,77.609,2.219,0.505,1.004
5843,12.248,74.274,2.228,0.505,1.013
5843.5,12.229,74.184,2.235,0.505,1.016
5844,12.235,70.608,2.225,0.509,1.013
5844.5,12.234,69.747,2.222,0.488,1.004
5845,12.244,71.966,2.217,0.474,1.001
5845.5,12.231,70.849,2.23,0.506,1.008
5846,12.205,72.068,2.233,0.517,1.006
5846.5,12.206,69.703,2.244,0.524,1.01
5847,12.203,71.029,2.25,0.491,1.019
5847.5,12.18,71.317,2.258,0.467,1.023
5848,12.162,75.744,2.248,0.465,1.028
5848.5,12.16,74.579,2.251,0.482,1.044
5849,12.166,75.446,2.251,0.494,1.056
5849.5,12.159,72.759,2.257,0.461,1.062
5850,12.145,75.448,2.258,0.428,1.067
5850.5,12.143,78.24,2.254,0.441,1.075
5851,12.152,77.075,2.247,0.467,1.081
5851.5,12.145,76.789,2.245,0.469,1.086
5852,12.145,75.242,2.256,0.495,1.09
5852.5,12.135,78.757,2.27,0.482,1.094
5853,12.154,80.14,2.271,0.512,1.097
5853.5,12.135,82.601,2.269,0.484,1.1
5854,12.147,79.72,2.261,0.511,1.102
5854.5,12.13,78.603,2.259,0.484,1.103
5855,12.14,77.369,2.26,0.498,1.105
5855.5,12.13,78.203,2.256,0.48,1.106
5856,12.125,77.506,2.25,0.482,1.103
5856.5,12.137,77.952,2.248,0.468,1.091
5857,12.121,77.918,2.248,0.465,1.073
5857.5,12.133,79.083,2.248,0.484,1.054
5858,12.128,76.336,2.238,0.495,1.038
5858.5,12.136,78.597,2.235,0.504,1.027
5859,12.128,78.97,2.226,0.491,1.018
5859.5,12.127,82.19,2.226,0.472,1.013
5860,12.121,80.646,2.225,0.468,1.011
5860.5,12.137,78.706,2.229,0.497,1.013
5861,12.127,79.289,2.234,0.509,1.017
5861.5,12.128,83.46,2.232,0.501,1.023
5862,12.133,83.055,2.237,0.5,1.027
5862.5,12.123,80.7,2.23,0.522,1.032
5863,12.14,76.19,2.228,0.541,1.03
5863.5,12.128,79.35,2.22,0.512,1.026
5864,12.129,78.1,2.24,0.494,1.03
5864.5,12.125,77.623,2.242,0.478,1.036
5865,12.125,72.921,2.256,0.471,1.035
5865.5,12.128,73.319,2.246,0.469,1.026
5866,12.131,73.622,2.259,0.485,1.016
5866.5,12.128,72.582,2.256,0.494,1.011
5867,12.112,73.965,2.259,0.467,1.008
5867.5,12.054,71.898,2.258,0.477,0.994
5868,12.061,72.938,2.269,0.486,0.982
5868.5,12.056,70.276,2.275,0.513,0.98
5869,12.056,71.531,2.276,0.502,0.97
5869.5,12.061,71.161,2.265,0.477,0.965
5870,12.051,72.868,2.265,0.459,0.956
5870.5,12.061,72.999,2.268,0.442,0.952
5871,12.056,76.167,2.272,0.507,0.96
5871.5,12.054,74.801,2.275,0.528,0.959
5872,12.056,72.948,2.273,0.551,0.964
5872.5,12.059,71.502,2.275,0.508,0.969
5873,12.054,70.07,2.273,0.504,0.974
5873.5,12.061,74.413,2.276,0.498,0.981
5874,12.054,72.675,2.278,0.504,0.993
5874.5,12.059,74.416,2.276,0.507,1.002
5875,12.058,69.27,2.267,0.494,1
5875.5,12.054,68.885,2.267,0.48,0.991
5876,12.056,68.13,2.262,0.468,0.998
5876.5,12.059,72.934,2.264,0.482,1.021
5877,12.054,75.139,2.258,0.5,1.033
5877.5,12.088,75.985,2.256,0.522,1.012
5878,12.093,71.535,2.256,0.501,0.988
5878.5,12.091,73.072,2.255,0.509,0.982
5879,12.093,75.631,2.256,0.482,0.99
5879.5,12.096,77.931,2.24,0.497,1.002
5880,12.099,74.262,2.227,0.468,1.004
5880.5,12.089,70.966,2.228,0.477,1.006
5881,12.09,71.288,2.229,0.471,1.007
5881.5,12.103,72.633,2.24,0.519,1.008
5882,12.068,72.148,2.239,0.519,1.006
5882.5,12.052,73.974,2.244,0.521,1
5883,12.065,76.037,2.242,0.499,1
5883.5,12.057,78.336,2.248,0.515,1.005
5884,12.065,76.698,2.237,0.551,1.005
5884.5,12.054,76.608,2.222,0.513,1.008
5885,12.054,73.898,2.213,0.53,1.007
5885.5,12.069,73.15,2.224,0.481,1.006
5886,12.093,71.716,2.236,0.483,1.008
5886.5,12.091,74.785,2.24,0.467,1.006
5887,12.099,75.958,2.253,0.485,1.002
5887.5,12.086,78.11,2.25,0.511,0.994
5888,12.095,75.338,2.251,0.51,0.991
5888.5,12.096,75.346,2.249,0.512,0.985
5889,12.091,75.346,2.243,0.523,0.981
5889.5,12.097,77.647,2.243,0.509,0.978
5890,12.086,74.527,2.247,0.5,0.977
5890.5,12.088,71.74,2.252,0.472,0.974
5891,12.093,67.546,2.24,0.494,0.971
5891.5,12.099,70.218,2.235,0.501,0.964
5892,12.088,71.39,2.235,0.505,0.956
5892.5,12.101,74.307,2.247,0.476,0.942
5893,12.091,74.755,2.253,0.481,0.93
5893.5,12.088,75.741,2.254,0.479,0.926
5894,12.098,76.252,2.266,0.49,0.924
5894.5,12.086,75.535,2.286,0.491,0.92
5895,12.103,73.671,2.298,0.511,0.919
5895.5,12.09,75.696,2.288,0.552,0.925
5896,12.091,73.697,2.277,0.54,0.937
5896.5,12.086,76.727,2.267,0.529,0.956
5897,12.097,76.427,2.261,0.495,0.968
5897.5,12.091,79.232,2.251,0.486,0.976
5898,12.101,77.279,2.253,0.481,0.986
5898.5,12.113,74.752,2.261,0.477,0.999
5899,12.135,73.695,2.263,0.491,1.019
5899.5,12.152,78.387,2.251,0.504,1.04
5900,12.165,80.497,2.24,0.484,1.047
5900.5,12.17,81.464,2.229,0.446,1.046
5901,12.167,75.333,2.24,0.438,1.041
5901.5,12.157,75.333,2.254,0.437,1.042
5902,12.13,74.546,2.259,0.462,1.051
5902.5,12.133,75.057,2.25,0.482,1.053
5903,12.13,71.919,2.247,0.527,1.053
5903.5,12.127,72.955,2.246,0.544,1.057
5904,12.125,73.484,2.256,0.501,1.065
5904.5,12.13,75.297,2.258,0.456,1.076
5905,12.122,73.595,2.27,0.452,1.092
5905.5,12.091,74.447,2.268,0.471,1.104
5906,12.182,72.168,2.257,0.452,1.109
5906.5,12.24,71.246,2.249,0.445,1.103
5907,12.233,69.231,2.242,0.449,1.09
5907.5,12.239,72.497,2.242,0.487,1.081
5908,12.235,69.825,2.238,0.48,1.071
5908.5,12.238,72.643,2.24,0.497,1.063
5909,12.243,71.995,2.245,0.489,1.057
5909.5,12.271,77.119,2.249,0.486,1.053
5910,12.278,75.645,2.252,0.476,1.055
5910.5,12.274,74.588,2.254,0.477,1.055
5911,12.305,75.485,2.235,0.463,1.054
5911.5,12.347,72.904,2.229,0.457,1.059
5912,12.339,75.016,2.235,0.479,1.076
5912.5,12.345,73.012,2.257,0.494,1.092
5913,12.216,75.523,2.285,0.49,1.107
5913.5,12.163,73.806,2.29,0.445,1.128
5914,12.162,75.463,2.272,0.457,1.146
5914.5,12.185,78.153,2.268,0.423,1.149
5915,12.244,77.709,2.264,0.444,1.146
5915.5,12.241,76.922,2.276,0.453,1.135
5916,12.237,74.718,2.251,0.508,1.123
5916.5,12.238,73.762,2.245,0.509,1.107
5917,12.237,72.826,2.23,0.498,1.085
5917.5,12.238,72.315,2.227,0.512,1.067
5918,12.258,73.051,2.22,0.546,1.064
5918.5,12.287,72.264,2.23,0.533,1.065
5919,12.303,68.77,2.235,0.532,1.069
5919.5,12.305,68.553,2.252,0.484,1.074
5920,12.317,68.911,2.25,0.513,1.073
5920.5,12.302,71.894,2.238,0.474,1.07
5921,12.24,71.573,2.238,0.481,1.065
5921.5,12.248,71.106,2.247,0.482,1.059
5922,12.226,71.276,2.259,0.526,1.055
5922.5,12.248,71.168,2.256,0.542,1.049
5923,12.229,69.411,2.251,0.529,1.046
5923.5,12.243,70.499,2.247,0.492,1.045
5924,12.239,72.292,2.253,0.461,1.045
5924.5,12.241,73.308,2.265,0.46,1.043
5925,12.233,72.694,2.257,0.51,1.041
5925.5,12.243,72.425,2.255,0.54,1.036
5926,12.233,75.425,2.256,0.529,1.029
5926.5,12.241,74.599,2.256,0.488,1.024
5927,12.237,71.675,2.252,0.477,1.022
5927.5,12.241,72.663,2.243,0.479,1.026
5928,12.246,74.884,2.242,0.462,1.031
5928.5,12.233,74.222,2.244,0.498,1.035
5929,12.23,70.063,2.252,0.493,1.037
5929.5,12.248,68.56,2.261,0.511,1.04
5930,12.235,73.76,2.264,0.475,1.046
5930.5,12.226,75.718,2.268,0.468,1.052
5931,12.204,75.18,2.268,0.459,1.059
5931.5,12.207,76.256,2.268,0.465,1.063
5932,12.209,77.278,2.267,0.5,1.067
5932.5,12.231,79.788,2.277,0.495,1.071
5933,12.235,77.548,2.28,0.481,1.072
5933.5,12.243,79.196,2.281,0.468,1.072
5934,12.267,77.383,2.277,0.507,1.068
5934.5,12.278,77.232,2.277,0.525,1.066
5935,12.283,74.949,2.282,0.537,1.067
5935.5,12.278,75.787,2.278,0.5,1.069
5936,12.27,75.469,2.286,0.5,1.072
5936.5,12.265,74.432,2.281,0.466,1.075
5937,12.292,74.042,2.288,0.475,1.077
5937.5,12.265,75.467,2.279,0.474,1.075
5938,12.275,75.788,2.283,0.503,1.068
5938.5,12.278,76.167,2.282,0.515,1.062
5939,12.278,73.933,2.277,0.524,1.059
5939.5,12.278,76.731,2.276,0.515,1.057
5940,12.292,76.127,2.276,0.493,1.054
5940.5,12.319,79.735,2.268,0.484,1.051
5941,12.349,78.459,2.267,0.473,1.051
5941.5,12.351,81.261,2.266,0.479,1.056
5942,12.388,79.12,2.274,0.48,1.063
5942.5,12.373,78.692,2.273,0.5,1.069
5943,12.393,76.827,2.269,0.52,1.074
5943.5,12.381,74.432,2.27,0.519,1.078
5944,12.379,73.426,2.268,0.503,1.075
5944.5,12.402,70.037,2.266,0.493,1.074
5945,12.418,70.897,2.274,0.5,1.076
5945.5,12.427,73.436,2.305,0.514,1.074
5946,12.413,76.403,2.333,0.511,1.065
5946.5,12.413,78.776,2.328,0.495,1.059
5947,12.427,79.968,2.298,0.48,1.063
5947.5,12.416,77.996,2.276,0.469,1.072
5948,12.416,78.492,2.276,0.468,1.077
5948.5,12.403,75.938,2.281,0.475,1.08
5949,12.409,78.269,2.29,0.478,1.091
5949.5,12.395,77.446,2.293,0.462,1.107
5950,12.415,79,2.296,0.448,1.12
5950.5,12.427,79,2.292,0.448,1.135
5951,12.415,80.022,2.29,0.449,1.154
5951.5,12.439,79.911,2.292,0.475,1.166
5952,12.45,82.955,2.296,0.467,1.174
5952.5,12.455,84.279,2.296,0.476,1.179
5953,12.464,85.753,2.303,0.432,1.185
5953.5,12.448,82.64,2.3,0.433,1.198
5954,12.457,82.192,2.296,0.439,1.214
5954.5,12.462,81.169,2.277,0.448,1.222
5955,12.455,80.252,2.279,0.442,1.225
5955.5,12.457,75.286,2.28,0.447,1.226
5956,12.45,71.249,2.291,0.45,1.216
5956.5,12.494,69.402,2.28,0.464,1.204
5957,12.498,71.514,2.275,0.463,1.193
5957.5,12.491,75.279,2.265,0.497,1.182
5958,12.496,79.899,2.275,0.506,1.167
5958.5,12.501,78.163,2.284,0.514,1.15
5959,12.54,77.087,2.289,0.472,1.143
5959.5,12.517,74.682,2.288,0.496,1.147
5960,12.528,78.107,2.286,0.487,1.14
5960.5,12.53,76.643,2.279,0.496,1.129
5961,12.533,77.261,2.287,0.497,1.119
5961.5,12.535,76.006,2.313,0.497,1.11
5962,12.526,75.987,2.352,0.5,1.098
5962.5,12.521,75.718,2.359,0.469,1.071
5963,12.533,78.094,2.341,0.447,1.05
5963.5,12.523,79.218,2.303,0.441,1.051
5964,12.535,76.995,2.294,0.45,1.058
5964.5,12.531,74.677,2.31,0.483,1.059
5965,12.517,75.505,2.317,0.486,1.06
5965.5,12.533,80.7,2.31,0.452,1.061
5966,12.531,84.228,2.299,0.43,1.067
5966.5,12.484,83.759,2.298,0.431,1.075
5967,12.314,80.609,2.292,0.431,1.084
5967.5,12.317,78.726,2.279,0.438,1.101
5968,12.412,77.471,2.291,0.453,1.118
5968.5,12.567,79.109,2.299,0.494,1.131
5969,12.614,77.027,2.3,0.482,1.145
5969.5,12.572,76.307,2.284,0.501,1.163
5970,12.511,76.17,2.272,0.47,1.181
5970.5,12.349,77.783,2.256,0.461,1.189
5971,12.169,80.66,2.239,0.43,1.195
5971.5,12.145,78.062,2.219,0.449,1.193
5972,12.205,80.226,2.233,0.451,1.192
5972.5,12.312,79.593,2.268,0.452,1.187
5973,12.193,79.881,2.29,0.44,1.186
5973.5,12.135,76.573,2.295,0.447,1.194
5974,12.148,74.755,2.266,0.439,1.2
5974.5,12.167,77.107,2.276,0.426,1.206
5975,12.248,80.904,2.294,0.414,1.203
5975.5,12.231,82.923,2.297,0.431,1.182
5976,12.266,84.721,2.287,0.436,1.145
5976.5,12.356,84.241,2.282,0.447,1.107
5977,12.505,82.068,2.298,0.436,1.135
5977.5,12.489,78.234,2.313,0.412,1.07
5978,12.446,75.834,2.3,0.416,1.067
5978.5,12.447,77.673,2.284,0.411,1.063
5979,12.422,79.598,2.278,0.448,1.055
5979.5,12.51,79.389,2.276,0.441,1.047
5980,12.526,75.65,2.283,0.43,1.041
5980.5,12.533,75.684,2.282,0.41,1.04
5981,12.531,75.155,2.291,0.429,1.029
5981.5,12.53,80.193,2.283,0.442,1.027
5982,12.531,78.13,2.278,0.444,1.032
5982.5,12.526,76.984,2.273,0.456,1.041
5983,12.53,78.418,2.28,0.476,1.052
5983.5,12.528,79.971,2.275,0.514,1.06
5984,12.526,78.158,2.272,0.469,1.077
5984.5,12.535,73.143,2.264,0.437,1.099
5985,12.533,72.813,2.273,0.406,1.12
5985.5,12.523,75.344,2.272,0.448,1.136
5986,12.519,77.759,2.276,0.464,1.15
5986.5,12.538,77.71,2.277,0.45,1.162
5987,12.528,78.647,2.294,0.418,1.17
5987.5,12.523,77.123,2.29,0.405,1.18
5988,12.535,78.078,2.282,0.403,1.188
5988.5,12.528,74.879,2.281,0.399,1.192
5989,12.53,78.909,2.297,0.401,1.194
5989.5,12.531,77.913,2.306,0.402,1.193
5990,12.517,79.919,2.316,0.411,1.186
5990.5,12.543,75.063,2.307,0.407,1.166
5991,12.535,72.661,2.299,0.427,1.151
5991.5,12.574,71.706,2.288,0.491,1.145
5992,12.555,74.863,2.277,0.502,1.148
5992.5,12.574,77.175,2.276,0.512,1.145
5993,12.562,78.878,2.282,0.452,1.131
5993.5,12.558,76.617,2.289,0.445,1.12
5994,12.572,76.018,2.301,0.442,1.108
5994.5,12.576,77.12,2.292,0.461,1.098
5995,12.58,76.154,2.28,0.472,1.093
5995.5,12.579,77.923,2.275,0.488,1.086
5996,12.565,73.709,2.276,0.472,1.075
5996.5,12.572,76.271,2.288,0.484,1.059
5997,12.585,74.364,2.285,0.475,1.045
5997.5,12.569,74.342,2.282,0.486,1.042
5998,12.567,76.24,2.274,0.497,1.052
5998.5,12.581,77.572,2.28,0.505,1.066
5999,12.57,83.062,2.288,0.487,1.08
5999.5,12.574,76.181,2.305,0.46,1.115
6000,12.567,75.65,2.294,0.43,1.145
6000.5,12.572,71.597,2.285,0.419,1.156
6001,12.558,76.219,2.279,0.427,1.161
6001.5,12.557,76.673,2.28,0.446,1.166
6002,12.572,78.306,2.285,0.434,1.161
6002.5,12.565,77.029,2.292,0.453,1.135
6003,12.565,76.98,2.295,0.453,1.11
6003.5,12.523,77.83,2.291,0.474,1.091
6004,12.531,80.402,2.274,0.442,1.072
6004.5,12.597,83.968,2.279,0.418,1.047
6005,12.639,78.669,2.276,0.432,0.998
6005.5,12.585,77.862,2.298,0.464,0.979
6006,12.57,73.314,2.303,0.478,1.007
6006.5,12.56,77.963,2.312,0.483,1.017
6007,12.565,74.41,2.295,0.458,1.018
6007.5,12.535,74.046,2.288,0.431,1.022
6008,12.528,72.225,2.278,0.422,1.016
6008.5,12.533,75.509,2.274,0.417,1.012
6009,12.511,78.247,2.285,0.455,1.018
6009.5,12.48,81.485,2.282,0.457,1.02
6010,12.464,80.719,2.293,0.48,1.018
6010.5,12.455,79.106,2.292,0.467,1.031
6011,12.454,79.873,2.298,0.445,1.055
6011.5,12.452,77.502,2.286,0.419,1.067
6012,12.462,75.888,2.283,0.42,1.075
6012.5,12.457,74.021,2.277,0.455,1.083
6013,12.459,77.449,2.28,0.446,1.09
6013.5,12.445,79.645,2.284,0.454,1.09
6014,12.468,81.481,2.286,0.429,1.098
6014.5,12.452,81.588,2.285,0.449,1.11
6015,12.457,80.848,2.29,0.441,1.126
6015.5,12.443,78.577,2.296,0.451,1.148
6016,12.467,77.373,2.308,0.44,1.158
6016.5,12.452,74.384,2.314,0.423,1.168
6017,12.45,73.584,2.314,0.418,1.165
6017.5,12.437,73.624,2.31,0.417,1.139
6018,12.434,74.611,2.31,0.416,1.116
6018.5,12.415,75.977,2.304,0.443,1.085
6019,12.416,77.461,2.29,0.458,1.054
6019.5,12.43,80.697,2.277,0.483,1.032
6020,12.391,77.628,2.269,0.451,1.018
6020.5,12.376,76.455,2.259,0.473,1.002
6021,12.397,74.126,2.262,0.459,1.001
6021.5,12.489,77.226,2.267,0.453,1.009
6022,12.54,77.612,2.277,0.411,1.015
6022.5,12.531,75.373,2.278,0.414,1.022
6023,12.517,74.35,2.27,0.442,1.028
6023.5,12.545,72.696,2.271,0.447,1.053
6024,12.523,74.576,2.279,0.436,1.081
6024.5,12.567,72.928,2.29,0.43,1.084
6025,12.562,75.985,2.297,0.432,1.084
6025.5,12.565,79.212,2.297,0.422,1.094
6026,12.567,81.882,2.291,0.402,1.099
6026.5,12.565,80.458,2.288,0.394,1.054
6027,12.567,77.432,2.285,0.429,1.036
6027.5,12.562,74.875,2.28,0.454,1.041
6028,12.567,75.034,2.27,0.483,1.053
6028.5,12.565,75.43,2.272,0.445,1.051
6029,12.57,78.451,2.284,0.435,1.06
6029.5,12.553,76.968,2.289,0.408,1.108
6030,12.59,76.779,2.278,0.429,1.125
6030.5,12.592,76.352,2.286,0.431,1.133
6031,12.611,77.993,2.28,0.428,1.143
6031.5,12.597,78.952,2.28,0.442,1.158
6032,12.594,79.405,2.276,0.425,1.156
6032.5,12.606,77.545,2.273,0.446,1.139
6033,12.597,76.946,2.267,0.439,1.106
6033.5,12.602,73.874,2.265,0.482,1.057
6034,12.606,77.681,2.27,0.487,1.038
6034.5,12.602,76.963,2.282,0.488,1.022
6035,12.606,78.616,2.282,0.471,1.015
6035.5,12.602,76.819,2.283,0.471,1.015
6036,12.597,75.625,2.277,0.488,1.022
6036.5,12.602,72.629,2.284,0.476,1.047
6037,12.597,69.138,2.292,0.459,1.06
6037.5,12.602,69.369,2.299,0.435,1.073
6038,12.608,72.527,2.289,0.453,1.074
6038.5,12.592,75.731,2.276,0.481,1.073
6039,12.606,75.604,2.272,0.501,1.073
6039.5,12.578,75.981,2.273,0.473,1.071
6040,12.594,74.736,2.268,0.474,1.058
6040.5,12.567,77.431,2.269,0.469,1.035
6041,12.556,76.354,2.267,0.494,1.029
6041.5,12.538,75.178,2.269,0.477,1.035
6042,12.519,73.185,2.27,0.494,1.046
6042.5,12.528,67.921,2.268,0.446,1.059
6043,12.535,68.029,2.273,0.453,1.065
6043.5,12.531,67.072,2.264,0.43,1.077
6044,12.533,74.827,2.267,0.477,1.087
6044.5,12.528,76.68,2.268,0.447,1.095
6045,12.517,82.3,2.27,0.445,1.108
6045.5,12.518,78.803,2.272,0.438,1.124
6046,12.511,79.826,2.271,0.479,1.145
6046.5,12.491,75.702,2.275,0.477,1.128
6047,12.494,77.226,2.264,0.468,1.102
6047.5,12.494,75.095,2.25,0.462,1.087
6048,12.496,75.095,2.244,0.474,1.077
6048.5,12.484,76.47,2.248,0.484,1.054
6049,12.487,77.32,2.249,0.477,1.02
6049.5,12.501,80.816,2.259,0.458,0.994
6050,12.538,77.323,2.264,0.453,0.977
6050.5,12.565,73.064,2.274,0.446,0.967
6051,12.565,71.54,2.277,0.457,0.954
6051.5,12.562,70.001,2.27,0.499,0.954
6052,12.562,73.835,2.268,0.489,0.956
6052.5,12.569,71.882,2.266,0.49,0.812
6053,12.562,74.681,2.267,0.454,0.964
6053.5,12.572,73.76,2.265,0.471,0.961
6054,12.565,75.265,2.26,0.465,0.935
6054.5,12.562,75.691,2.254,0.459,0.877
6055,12.57,77.325,2.256,0.448,0.837
6055.5,12.56,75.244,2.257,0.458,0.823
6056,12.557,77.138,2.27,0.474,0.811
6056.5,12.572,79.336,2.279,0.477,0.801
6057,12.567,79.864,2.303,0.505,0.807
6057.5,12.595,76.413,2.29,0.518,0.842
6058,12.607,76.278,2.267,0.529,0.907
6058.5,12.613,74.386,2.25,0.526,0.979
6059,12.651,76.288,2.247,0.523,1.024
6059.5,12.633,75.129,2.247,0.502,1.038
6060,12.631,77.39,2.252,0.496,1.081
6060.5,12.663,77.064,2.252,0.462,1.105
6061,12.668,73.609,2.263,0.467,1.106
6061.5,12.682,70.429,2.281,0.493,1.089
6062,12.665,72.257,2.286,0.504,1.074
6062.5,12.67,73.73,2.284,0.52,1.064
6063,12.682,78.416,2.267,0.466,1.038
6063.5,12.665,77.879,2.269,0.459,1.027
6064,12.684,75.976,2.266,0.461,1.018
6064.5,12.668,74.509,2.274,0.504,1.011
6065,12.684,75.068,2.275,0.531,1.006
6065.5,12.665,77.315,2.268,0.539,0.997
6066,12.672,74.696,2.264,0.523,0.991
6066.5,12.682,68.469,2.26,0.476,0.987
6067,12.663,70.167,2.252,0.452,0.984
6067.5,12.68,71.654,2.251,0.437,0.982
6068,12.672,74.752,2.246,0.477,0.986
6068.5,12.678,71.454,2.242,0.49,0.992
6069,12.661,70.596,2.234,0.518,0.988
6069.5,12.656,73.237,2.241,0.51,0.988
6070,12.647,71.963,2.255,0.53,0.988
6070.5,12.643,72.269,2.259,0.495,0.99
6071,12.629,68.451,2.263,0.494,0.989
6071.5,12.643,72.367,2.258,0.488,0.977
6072,12.643,75.537,2.253,0.535,0.966
6072.5,12.636,77.529,2.248,0.55,0.959
6073,12.622,76.165,2.247,0.557,0.96
6073.5,12.607,74.841,2.252,0.538,0.968
6074,12.597,74.878,2.244,0.554,0.972
6074.5,12.606,77.324,2.247,0.528,0.98
6075,12.599,76.842,2.246,0.502,0.987
6075.5,12.599,79.565,2.26,0.468,0.999
6076,12.599,78.532,2.255,0.473,1.015
6076.5,12.604,79.62,2.262,0.511,1.036
6077,12.602,79.979,2.253,0.534,1.047
6077.5,12.595,77.884,2.26,0.539,1.052
6078,12.599,79.161,2.259,0.523,1.053
6078.5,12.611,75.993,2.264,0.509,1.055
6079,12.606,77.061,2.26,0.517,1.054
6079.5,12.602,76.741,2.261,0.502,1.053
6080,12.597,75.207,2.255,0.531,1.049
6080.5,12.589,75.606,2.25,0.495,1.043
6081,12.608,74.671,2.241,0.521,1.038
6081.5,12.602,78.826,2.239,0.482,1.036
6082,12.606,79.316,2.244,0.496,1.034
6082.5,12.599,78.699,2.245,0.475,1.029
6083,12.606,76.914,2.253,0.501,1.024
6083.5,12.604,76.832,2.257,0.5,1.021
6084,12.588,75.996,2.257,0.489,1.019
6084.5,12.604,76.522,2.259,0.461,1.018
6085,12.577,74.82,2.26,0.485,1.017
