depth,cali,gr,density,nphi,res,sonic
762,-999.25,31.8827,-999.25,-999.25,-999.25,-999.25
762.5,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
763,-999.25,32.4053,-999.25,-999.25,-999.25,-999.25
763.5,-999.25,32.6667,-999.25,-999.25,-999.25,-999.25
764,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
764.5,-999.25,34.104,-999.25,-999.25,-999.25,-999.25
765,-999.25,35.28,-999.25,-999.25,-999.25,-999.25
765.5,-999.25,36.456,-999.25,-999.25,-999.25,-999.25
766,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
766.5,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
767,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
767.5,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
768,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
768.5,-999.25,38.024,-999.25,-999.25,-999.25,-999.25
769,-999.25,38.416,-999.25,-999.25,-999.25,-999.25
769.5,-999.25,38.808,-999.25,-999.25,-999.25,-999.25
770,-999.25,39.2,-999.25,-999.25,-999.25,-999.25
770.5,-999.25,41.2907,-999.25,-999.25,-999.25,-999.25
771,-999.25,43.3813,-999.25,-999.25,-999.25,-999.25
771.5,-999.25,45.472,-999.25,-999.25,-999.25,-999.25
772,-999.25,47.5627,-999.25,-999.25,-999.25,-999.25
772.5,-999.25,49.6533,-999.25,-999.25,-999.25,-999.25
773,-999.25,51.744,-999.25,-999.25,-999.25,-999.25
773.5,-999.25,52.92,-999.25,-999.25,-999.25,-999.25
774,-999.25,54.096,-999.25,-999.25,-999.25,-999.25
774.5,-999.25,55.272,-999.25,-999.25,-999.25,-999.25
775,-999.25,56.448,-999.25,-999.25,-999.25,-999.25
775.5,-999.25,54.88,-999.25,-999.25,-999.25,-999.25
776,-999.25,53.312,-999.25,-999.25,-999.25,-999.25
776.5,-999.25,51.744,-999.25,-999.25,-999.25,-999.25
777,-999.25,50.176,-999.25,-999.25,-999.25,-999.25
777.5,-999.25,49.392,-999.25,-999.25,-999.25,-999.25
778,-999.25,48.608,-999.25,-999.25,-999.25,-999.25
778.5,-999.25,47.824,-999.25,-999.25,-999.25,-999.25
779,-999.25,47.04,-999.25,-999.25,-999.25,-999.25
779.5,-999.25,44.296,-999.25,-999.25,-999.25,-999.25
780,-999.25,41.552,-999.25,-999.25,-999.25,-999.25
780.5,-999.25,38.808,-999.25,-999.25,-999.25,-999.25
781,-999.25,36.064,-999.25,-999.25,-999.25,-999.25
781.5,-999.25,34.888,-999.25,-999.25,-999.25,-999.25
782,-999.25,33.712,-999.25,-999.25,-999.25,-999.25
782.5,-999.25,32.536,-999.25,-999.25,-999.25,-999.25
783,-999.25,31.36,-999.25,-999.25,-999.25,-999.25
783.5,-999.25,31.752,-999.25,-999.25,-999.25,-999.25
784,-999.25,32.144,-999.25,-999.25,-999.25,-999.25
784.5,-999.25,32.536,-999.25,-999.25,-999.25,-999.25
785,-999.25,32.928,-999.25,-999.25,-999.25,-999.25
785.5,-999.25,33.1089,-999.25,-999.25,-999.25,-999.25
786,-999.25,33.2898,-999.25,-999.25,-999.25,-999.25
786.5,-999.25,33.4708,-999.25,-999.25,-999.25,-999.25
787,-999.25,33.6517,-999.25,-999.25,-999.25,-999.25
787.5,-999.25,33.8326,-999.25,-999.25,-999.25,-999.25
788,-999.25,34.0135,-999.25,-999.25,-999.25,-999.25
788.5,-999.25,34.1945,-999.25,-999.25,-999.25,-999.25
789,-999.25,34.3754,-999.25,-999.25,-999.25,-999.25
789.5,-999.25,34.5563,-999.25,-999.25,-999.25,-999.25
790,-999.25,34.7372,-999.25,-999.25,-999.25,-999.25
790.5,-999.25,34.9182,-999.25,-999.25,-999.25,-999.25
791,-999.25,35.0991,-999.25,-999.25,-999.25,-999.25
791.5,-999.25,35.28,-999.25,-999.25,-999.25,-999.25
792,-999.25,35.4609,-999.25,-999.25,-999.25,-999.25
792.5,-999.25,35.6418,-999.25,-999.25,-999.25,-999.25
793,-999.25,35.8228,-999.25,-999.25,-999.25,-999.25
793.5,-999.25,36.0037,-999.25,-999.25,-999.25,-999.25
794,-999.25,36.1846,-999.25,-999.25,-999.25,-999.25
794.5,-999.25,36.3655,-999.25,-999.25,-999.25,-999.25
795,-999.25,36.5465,-999.25,-999.25,-999.25,-999.25
795.5,-999.25,36.7274,-999.25,-999.25,-999.25,-999.25
796,-999.25,36.9083,-999.25,-999.25,-999.25,-999.25
796.5,-999.25,37.0892,-999.25,-999.25,-999.25,-999.25
797,-999.25,37.2701,-999.25,-999.25,-999.25,-999.25
797.5,-999.25,37.4511,-999.25,-999.25,-999.25,-999.25
798,-999.25,37.632,-999.25,-999.25,-999.25,-999.25
798.5,-999.25,38.808,-999.25,-999.25,-999.25,-999.25
799,-999.25,39.984,-999.25,-999.25,-999.25,-999.25
799.5,-999.25,41.16,-999.25,-999.25,-999.25,-999.25
800,-999.25,42.336,-999.25,-999.25,-999.25,-999.25
800.5,-999.25,42.924,-999.25,-999.25,-999.25,-999.25
801,-999.25,43.512,-999.25,-999.25,-999.25,-999.25
801.5,-999.25,44.1,-999.25,-999.25,-999.25,-999.25
802,-999.25,44.688,-999.25,-999.25,-999.25,-999.25
802.5,-999.25,45.276,-999.25,-999.25,-999.25,-999.25
803,-999.25,45.864,-999.25,-999.25,-999.25,-999.25
803.5,-999.25,46.452,-999.25,-999.25,-999.25,-999.25
804,-999.25,47.04,-999.25,-999.25,-999.25,-999.25
804.5,-999.25,46.256,-999.25,-999.25,-999.25,-999.25
805,-999.25,45.472,-999.25,-999.25,-999.25,-999.25
805.5,-999.25,44.688,-999.25,-999.25,-999.25,-999.25
806,-999.25,43.904,-999.25,-999.25,-999.25,-999.25
806.5,-999.25,43.12,-999.25,-999.25,-999.25,-999.25
807,-999.25,42.336,-999.25,-999.25,-999.25,-999.25
807.5,-999.25,43.6427,-999.25,-999.25,-999.25,-999.25
808,-999.25,44.9493,-999.25,-999.25,-999.25,-999.25
808.5,-999.25,46.256,-999.25,-999.25,-999.25,-999.25
809,-999.25,47.5627,-999.25,-999.25,-999.25,-999.25
809.5,-999.25,48.8693,-999.25,-999.25,-999.25,-999.25
810,-999.25,50.176,-999.25,-999.25,-999.25,-999.25
810.5,-999.25,50.568,-999.25,-999.25,-999.25,-999.25
811,-999.25,50.96,-999.25,-999.25,-999.25,-999.25
811.5,-999.25,51.352,-999.25,-999.25,-999.25,-999.25
