,Depth,Forest,Lasso,SGDRegressor,XGB,Original,Ols,Ridge
8762,9910.0,101.06851694573577,120.28572746708029,129.6141735123221,110.646034,114.66999999999999,126.32085633409234,130.7958362215258
8763,9910.5,101.03957097827347,120.3542547684414,132.88098920888496,111.77065,114.67860000000002,125.72237446917123,132.89783303821292
8764,9911.0,101.03957097827347,119.99050407463324,134.58241884395233,111.87017,114.77050000000004,124.55918454723404,133.7276233068501
8765,9911.5,101.03957097827347,119.05308060182,133.01586172041115,111.42853,114.94689999999996,123.87454963697773,132.42573889923204
8766,9912.0,101.03957097827347,118.055635989415,127.43338390046071,108.84811,115.14220000000005,124.05899488930184,128.56510661731033
8767,9912.5,101.0328482281142,118.28919036019872,127.853201160483,108.95135,115.1373,124.38854322257855,128.95686540382414
8768,9913.0,101.0328482281142,118.58951735219374,129.26692205136803,109.73558,115.2527,124.51625164861376,129.99687881869167
8769,9913.5,101.03957097827347,118.2044102668156,127.79260356519515,108.952866,115.50799999999995,124.27703133259968,128.91023658363224
8770,9914.0,100.99868865971253,118.87561048492171,130.39417291143582,111.98099,115.63030000000005,124.49593951042341,130.82428259476606
8771,9914.5,101.08086486395926,119.83030528419721,133.03698251789095,110.72373,115.54720000000005,124.95940457370784,132.82129664076191
8772,9915.0,100.99868865971253,119.1771226644397,133.74714342299788,110.42314,115.63030000000005,123.80065163336877,132.9560446926602
8773,9915.5,101.13748694526102,115.47590255657626,127.51364097662645,113.12542,115.8801,120.63345676522866,127.60620375420925
8774,9916.0,101.30216945403843,111.02094711256686,121.35704034709033,110.39828,115.6387,116.1162283057835,121.86112746782256
8775,9916.5,101.28022524827088,108.65336192384645,120.6753810244491,111.809265,114.92600000000002,113.39118228274907,120.48116155495578
8776,9917.0,101.22787371590611,108.2082091268338,120.19293778294299,111.80394,114.48569999999995,112.90233318758513,119.96115078146671
8777,9917.5,101.1773304471514,108.48965883242442,120.40044769616394,111.86323,114.78030000000004,113.3124333143474,120.2466855031227
8778,9918.0,101.20040096435127,108.41165220415839,120.0796303298282,110.91515,115.56490000000001,113.29909741683912,120.05801571651736
8779,9918.5,101.28404481348275,108.13756087956082,119.92206872188127,110.61639,116.26500000000004,113.22018045809077,119.95630649098807
8780,9919.0,101.28404481348275,108.36915302241123,120.09724760372094,110.82697,116.72640000000001,113.7033944343582,120.24680719287925
8781,9919.5,101.31061278587596,109.84922628494822,122.21073721985238,111.27873,116.82420000000005,115.22187617364223,122.21242831451511
8782,9920.0,101.3182505462857,112.35272679742019,127.43473323421443,112.72728,116.76829999999997,117.48419009141905,126.57208502301461
8783,9920.5,101.30906129296667,114.18327025471845,129.11019262294568,112.72863,116.8881,119.62825285269838,128.42897143268237
8784,9921.0,101.30040002445743,114.74540993004331,128.30397954365006,112.42151,117.19459999999997,120.61327238842337,128.19438369828518
8785,9921.5,101.27257250529487,113.91606275144629,124.46428006804481,110.52541,117.14210000000003,120.14841868169665,125.35749438809871
8786,9922.0,101.26285622974669,113.1203420664126,122.64189251765714,110.002556,116.65679999999999,119.24185307734568,123.77328437876139
8787,9922.5,101.18415121859016,111.87124649186676,123.110890210864,110.82015,115.84319999999994,117.12489913927877,123.40667212531709
8788,9923.0,101.19721121975192,112.19013795618586,122.9037810319887,111.23869,115.12600000000003,117.28238670035692,123.2832922564184
8789,9923.5,101.2315272667895,114.13702609753125,123.74171345983132,110.502174,115.14289999999997,119.76660734998013,124.65147744047775
8790,9924.0,101.26455552649442,116.25737616484787,126.80452785810641,110.39504,115.33049999999999,121.94306036597439,127.49510347219305
8791,9924.5,101.21413972134053,118.49267912238453,130.3886684170327,112.45472,115.31280000000002,123.89965915651673,130.62873134789285
8792,9925.0,101.20068382064724,119.61142127572934,132.64389049344965,111.88121,115.1924,124.7484242854632,132.47217690305033
8793,9925.5,101.28304993230583,120.23953786941412,134.06710187465836,111.85903,115.10019999999996,125.12442640177419,133.58848543480903
8794,9926.0,101.20068382064724,121.01651807226474,132.8837075093625,112.04334,115.17389999999996,126.45175811649331,133.18066376439535
8795,9926.5,101.20068382064724,120.54167073530698,129.61628992205368,109.997,115.25829999999998,126.74762512107974,130.97136777573849
8796,9927.0,101.24504129172408,119.84658768787119,128.5728551264183,108.89777,115.39430000000002,126.25230551126256,130.081767745491
8797,9927.5,101.33669455105344,119.31528813477593,127.66269084068244,107.54417,115.71589999999998,126.12107418127897,129.4130768040268
8798,9928.0,101.28225907052031,119.06262703043076,125.91615571223687,107.4573,116.02920000000005,126.17998385945583,128.2047438264429
8799,9928.5,101.25187643657908,119.0442176294386,124.69555581079956,105.97534,116.4138,126.59401833751353,127.46805044350953
8800,9929.0,101.21851635490744,119.63751847081024,124.14448139248694,106.69603,117.1439,127.71384958036748,127.43693283830035
8801,9929.5,101.29278547243572,120.53653947566835,124.87153057368211,106.47841,117.95359999999995,129.23603595987424,128.44318749356458
8802,9930.0,101.33553888386855,121.13789814669893,123.8094974573782,106.24082,118.31219999999996,130.39647556187705,128.04108103049384
8803,9930.5,101.29278547243572,121.70247115611454,121.36853490096789,105.9933,118.20200000000001,131.71437913206532,126.64187268337602
8804,9931.0,101.2862386902254,122.17999896278266,120.28992730228521,105.63692,117.89770000000006,132.40970527261672,126.04369040794617
8805,9931.5,101.24904512660869,122.069472527994,120.37012439144986,105.7408,117.61880000000002,132.26393901355056,126.04534409159693
8806,9932.0,101.33553888386855,121.89559680447543,120.28748556429184,105.64022,117.62960000000002,132.25140069165732,125.98412041040774
8807,9932.5,101.32999494680575,122.43068559293931,120.08941178741804,105.93995,117.59140000000004,132.80002615415376,125.99347908370022
8808,9933.0,101.29636340236264,123.68969895127104,120.94947881138737,105.42935,117.30799999999996,133.8703916419176,126.92328458115186
8809,9933.5,101.15072631652792,124.73735505512353,122.04830481319537,104.68594,117.03210000000001,134.32832333486044,127.86186894004399
8810,9934.0,101.34515477971306,124.81965758880764,123.21841661958683,105.16037,117.27510000000002,134.48489253027003,128.7705831272064
8811,9934.5,101.15265896356183,124.9045492871002,124.88557419335618,105.132126,117.94249999999998,134.50918969641788,130.01140220020073
8812,9935.0,101.17316738133692,125.27696999799817,127.24806455443604,104.94423,117.92369999999995,134.69322379824374,131.7649775644773
8813,9935.5,101.16498050451287,125.08331835236814,125.4586953997983,105.02757,117.49260000000002,134.6422724578841,130.43419623047035
