,Depth,Forest,Lasso,SGDRegressor,XGB,Original,Ols,Ridge
Depth,1.0,0.8208479978052053,0.6780935482830618,0.6550280426104558,0.4561594203126652,0.8481878415547907,0.7615693643931215,0.7218019860600092
Forest,0.8208479978052053,1.0,0.490306784425784,0.5475150161736917,0.680171284798297,0.901889249880683,0.6072738626171035,0.6004600356718534
Lasso,0.6780935482830618,0.490306784425784,1.0,0.8756610709770493,0.13054036611052888,0.41471141216754476,0.9822354443415824,0.9367871269848432
SGDRegressor,0.6550280426104558,0.5475150161736917,0.8756610709770493,1.0,0.44103341144147923,0.5228902406400971,0.843760117112741,0.9848415022540365
XGB,0.4561594203126652,0.680171284798297,0.13054036611052888,0.44103341144147923,1.0,0.6980783783392958,0.20219535454257767,0.39534594497487124
Original,0.8481878415547907,0.901889249880683,0.41471141216754476,0.5228902406400971,0.6980783783392958,1.0,0.5485343761741273,0.5668504869677546
Ols,0.7615693643931215,0.6072738626171035,0.9822354443415824,0.843760117112741,0.20219535454257767,0.5485343761741273,1.0,0.9232751091271416
Ridge,0.7218019860600092,0.6004600356718534,0.9367871269848432,0.9848415022540365,0.39534594497487124,0.5668504869677546,0.9232751091271416,1.0
